City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Grand-Lahou,5.1367,-5.0242,82.89,80,67,12.59,CI,2022-04-11 18:20:40
162,Ahipara,-35.1667,173.1667,63.48,90,100,7.7,NZ,2022-04-11 18:20:41
163,Qaanaaq,77.484,-69.3632,-0.94,76,49,3.18,GL,2022-04-11 18:20:42
164,Lebu,-37.6167,-73.65,55.71,67,96,6.53,CL,2022-04-11 18:20:42
165,Khani,41.9563,42.9566,56.77,71,14,9.22,GE,2022-04-11 18:20:43
166,Humaita,-7.5061,-63.0208,83.84,67,100,3.98,BR,2022-04-11 18:20:43
167,Kizukuri,40.8061,140.3861,52.11,80,0,4.52,JP,2022-04-11 18:20:44
168,Shimoda,34.6667,138.95,61.11,85,100,6.06,JP,2022-04-11 18:20:46
169,Marawi,7.9986,124.2928,67.98,92,100,5.23,PH,2022-04-11 18:20:46
170,Shenjiamen,29.9576,122.298,60.8,99,100,11.72,CN,2022-04-11 18:20:46
171,Hamilton,39.1834,-84.5333,59.43,91,100,11.5,US,2022-04-11 18:15:47
172,Chhagalnaiya,23.03,91.5069,78.33,89,90,5.12,BD,2022-04-11 18:20:47
173,Natal,-5.795,-35.2094,86.22,66,20,12.66,BR,2022-04-11 18:19:50
174,Burnie,-41.0667,145.9167,47.91,79,11,7.85,AU,2022-04-11 18:19:52
175,Maunabo,18.0072,-65.8993,86.52,76,12,11.36,PR,2022-04-11 18:20:48
176,Florida,28.7505,-82.5001,82.81,42,0,6.91,US,2022-04-11 18:20:48
177,Kununurra,-15.7667,128.7333,69.78,83,58,3.44,AU,2022-04-11 18:20:49
178,Manaus,-3.1019,-60.025,84.69,79,75,3.44,BR,2022-04-11 18:21:49
179,Saint Simons,31.1352,-81.3901,76.05,46,0,12.66,US,2022-04-11 18:21:50
180,Samaipata,-18.15,-63.8667,69.89,61,74,8.63,BO,2022-04-11 18:21:50
181,Faanui,-16.4833,-151.75,81.7,71,21,17.72,PF,2022-04-11 18:21:51
182,Bratsk,56.1325,101.6142,21.69,97,96,5.84,RU,2022-04-11 18:21:51
183,Puerto Leguizamo,-0.1934,-74.7819,81.45,79,96,3.85,CO,2022-04-11 18:18:31
184,Saint George,37.1041,-113.5841,70.63,12,0,3.0,US,2022-04-11 18:17:31
185,Beberibe,-4.1797,-38.1306,82.4,77,80,7.36,BR,2022-04-11 18:21:52
186,Ribeira Grande,38.5167,-28.7,61.2,94,75,21.85,PT,2022-04-11 18:21:52
187,Kandrian,-6.2167,149.55,77.4,86,61,3.85,PG,2022-04-11 18:21:52
188,Comodoro Rivadavia,-45.8667,-67.5,55.26,67,75,8.05,AR,2022-04-11 18:21:53
189,Komsomolskiy,40.4272,71.7189,68.72,52,84,2.3,UZ,2022-04-11 18:21:54
190,Houma,29.5958,-90.7195,73.99,82,100,3.0,US,2022-04-11 18:21:54
191,Aguimes,27.9054,-15.4461,66.83,52,75,8.05,ES,2022-04-11 18:21:55
192,Husavik,66.0449,-17.3389,31.53,91,93,6.78,IS,2022-04-11 18:21:55
193,Aklavik,68.2191,-135.0107,4.24,91,44,5.01,CA,2022-04-11 18:21:55
194,Ryotsu,38.0833,138.4333,58.21,61,17,4.16,JP,2022-04-11 18:21:56
195,Turangi,-39.0,175.9333,50.41,97,100,1.54,NZ,2022-04-11 18:21:56
196,West Wendover,40.7391,-114.0733,45.61,39,100,9.22,US,2022-04-11 18:21:57
197,Hasaki,35.7333,140.8333,59.4,85,100,17.2,JP,2022-04-11 18:21:57
198,Ojinaga,29.5667,-104.4167,86.58,17,0,6.91,MX,2022-04-11 18:21:57
199,Beringovskiy,63.05,179.3167,23.23,96,100,8.03,RU,2022-04-11 18:21:58
200,Porto Novo,6.4965,2.6036,85.82,78,90,9.01,BJ,2022-04-11 18:21:58
201,Vaitape,-16.5167,-151.75,81.66,71,20,17.74,PF,2022-04-11 18:21:59
202,Qasigiannguit,68.8193,-51.1922,28.65,68,100,1.61,GL,2022-04-11 18:21:59
203,Jibuti,11.5,42.5,77.97,63,2,13.24,DJ,2022-04-11 18:21:59
204,Shakiso,5.75,38.9167,59.59,95,88,2.39,ET,2022-04-11 18:22:00
205,Acapulco,16.8634,-99.8901,85.82,66,0,8.05,MX,2022-04-11 18:22:00
206,Sao Filipe,14.8961,-24.4956,72.03,73,66,12.48,CV,2022-04-11 18:22:01
207,Acarau,-2.8856,-40.12,82.81,77,73,10.56,BR,2022-04-11 18:22:01
208,Hay River,60.8156,-115.7999,10.38,79,100,16.11,CA,2022-04-11 18:22:02
209,Lorengau,-2.0226,147.2712,81.84,74,18,8.39,PG,2022-04-11 18:22:02
210,Kathu,7.9178,98.3332,87.75,81,77,7.02,TH,2022-04-11 18:22:03
211,Nikolskoye,59.7035,30.7861,40.71,95,81,2.98,RU,2022-04-11 18:22:03
212,Victor Harbor,-35.5667,138.6167,57.0,75,80,9.78,AU,2022-04-11 18:22:03
213,Banyo,6.75,11.8167,78.55,41,80,4.68,CM,2022-04-11 18:22:04
214,Norman Wells,65.282,-126.8329,12.24,52,75,14.97,CA,2022-04-11 18:22:05
215,Xai-Xai,-25.0519,33.6442,72.45,94,28,7.07,MZ,2022-04-11 18:22:05
216,Progreso,21.2833,-89.6667,93.11,41,6,8.34,MX,2022-04-11 18:22:05
217,Lianzhou,24.7811,112.3825,70.2,73,0,2.46,CN,2022-04-11 18:22:06
218,Rosarito,32.3333,-117.0333,66.42,69,76,12.46,MX,2022-04-11 18:22:06
219,Geraldton,-28.7667,114.6,55.81,88,3,3.44,AU,2022-04-11 18:22:07
220,Talnakh,69.4865,88.3972,-5.22,95,15,7.2,RU,2022-04-11 18:22:07
221,Almaznyy,48.0448,40.045,60.15,51,100,13.15,RU,2022-04-11 18:23:08
222,Raga,8.4596,25.678,84.24,44,64,7.25,SS,2022-04-11 18:23:08
223,Pevek,69.7008,170.3133,-25.98,100,69,7.92,RU,2022-04-11 18:23:08
224,Gizo,-8.103,156.8419,80.94,78,95,7.72,SB,2022-04-11 18:23:09
225,Wellington,-41.2866,174.7756,64.06,89,75,13.8,NZ,2022-04-11 18:18:33
226,Dinghai,26.2847,119.7936,63.52,79,0,5.5,CN,2022-04-11 18:23:09
227,Praya,14.9215,-23.5087,75.74,57,75,24.16,CV,2022-04-11 18:23:10
228,Odweyne,9.4092,45.064,79.27,44,36,10.51,SO,2022-04-11 18:23:10
229,Timra,62.487,17.3257,40.68,60,64,13.8,SE,2022-04-11 18:23:11
230,Mahon,39.8885,4.2658,57.76,82,20,16.11,ES,2022-04-11 18:23:11
231,Pierre,44.3683,-100.351,51.85,40,0,4.0,US,2022-04-11 18:23:12
232,Turukhansk,65.8167,87.9833,10.33,93,98,7.18,RU,2022-04-11 18:23:12
233,Fortuna,40.5982,-124.1573,49.93,65,75,20.71,US,2022-04-11 18:23:12
234,Lexington,37.9887,-84.4777,64.33,94,100,11.5,US,2022-04-11 18:22:12
235,Los Llanos De Aridane,28.6585,-17.9182,64.15,81,100,3.0,ES,2022-04-11 18:23:13
236,Lata,40.1629,-8.3327,58.82,71,64,9.42,PT,2022-04-11 18:23:13
237,Lasa,46.6166,10.7002,54.48,87,67,1.9,IT,2022-04-11 18:23:14
238,Salem,11.65,78.1667,80.4,74,97,5.17,IN,2022-04-11 18:21:05
239,Lagoa,39.05,-27.9833,59.34,93,97,22.77,PT,2022-04-11 18:23:14
240,Huarmey,-10.0681,-78.1522,73.78,74,56,10.8,PE,2022-04-11 18:23:15
